antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'packaged cheese'},"['fresh fruits', 'packaged vegetables fruits']",0.230995,0.26987,0.090715,0.39271412801142885,1.4551974210228216,0.02837637935,1.202283856216139,0.40676981029819376
{'packaged vegetables fruits'},"['fresh fruits', 'packaged cheese']",0.365415,0.1559,0.090715,0.24825198746630545,1.5923796502008045,0.0337468015,1.1228496596286857,0.5862241556831725
"{'fresh vegetables', 'packaged cheese'}",['packaged vegetables fruits'],0.13585,0.365415,0.08197,0.6033860875966139,1.6512351370267064,0.03232837225,1.6000069088715665,0.45639383451612414
"{'fresh vegetables', 'packaged vegetables fruits'}",['packaged cheese'],0.234555,0.230995,0.08197,0.34947027349662124,1.51289107338523,0.027788967775,1.182121229314808,0.44289776585263085
"{'packaged cheese', 'packaged vegetables fruits'}",['fresh vegetables'],0.11461,0.44436,0.08197,0.7152080970246925,1.6095240278708536,0.031041900400000003,1.9510386151960786,0.4277192075102377
{'packaged cheese'},"['fresh vegetables', 'packaged vegetables fruits']",0.230995,0.234555,0.08197,0.35485616571787265,1.51289107338523,0.027788967775,1.1864718522060054,0.44084743321963704
{'packaged vegetables fruits'},"['fresh vegetables', 'packaged cheese']",0.365415,0.13585,0.08197,0.22432029336507808,1.6512351370267067,0.03232837225,1.1140551861913246,0.62149709195318
"{'fresh vegetables', 'packaged cheese', 'fresh fruits'}",['packaged vegetables fruits'],0.10457,0.365415,0.068325,0.6533900736348858,1.7880767719849644,0.030113553449999997,1.8308333135604913,0.4922103311444613
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits'}",['fresh fruits'],0.08197,0.555995,0.068325,0.8335366597535683,1.4991801360687924,0.022750089849999995,2.667283975815315,0.3626992038293678
"{'fresh vegetables', 'fresh fruits', 'packaged vegetables fruits'}",['packaged cheese'],0.18658,0.230995,0.068325,0.3661968056597706,1.5853018708620126,0.025225952899999994,1.2133182774512705,0.4538925910101011
"{'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}",['fresh vegetables'],0.090715,0.44436,0.068325,0.7531830458027889,1.6949838999972746,0.0280148826,2.2512229834747655,0.4509300105261775
"{'fresh vegetables', 'packaged cheese'}","['fresh fruits', 'packaged vegetables fruits']",0.13585,0.26987,0.068325,0.5029444239970555,1.8636544410162506,0.031663160499999995,1.4689101888189557,0.5362724515474822
"{'fresh vegetables', 'fresh fruits'}","['packaged cheese', 'packaged vegetables fruits']",0.31756,0.11461,0.068325,0.2151561909560398,1.8772898608850868,0.0319294484,1.1281098096174293,0.6847740612969803
"{'fresh vegetables', 'packaged vegetables fruits'}","['fresh fruits', 'packaged cheese']",0.234555,0.1559,0.068325,0.29129628445353967,1.868481619329953,0.03175787549999999,1.191047798231366,0.6072364196374895
"{'packaged cheese', 'fresh fruits'}","['fresh vegetables', 'packaged vegetables fruits']",0.1559,0.234555,0.068325,0.4382617062219371,1.8684816193299527,0.03175787549999999,1.3626363174421923,0.5506528624919064
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'fresh vegetables']",0.11461,0.31756,0.068325,0.5961521682226681,1.8772898608850868,0.0319294484,1.6898444074754237,0.5278094516444857
"{'fresh fruits', 'packaged vegetables fruits'}","['fresh vegetables', 'packaged cheese']",0.26987,0.13585,0.068325,0.25317745581205764,1.8636544410162506,0.031663160499999995,1.157102188096951,0.6347086669562361
{'packaged cheese'},"['fresh fruits', 'fresh vegetables', 'packaged vegetables fruits']",0.230995,0.18658,0.068325,0.2957856230654343,1.5853018708620128,0.025225952899999994,1.1550744015491485,0.4801078164373918
"{'fresh vegetables', 'packaged cheese'}",['fresh fruits'],0.13585,0.555995,0.10457,0.769746043430254,1.3844477799804926,0.02903807925,1.9283273417519184,0.32134507179176025
"{'fresh vegetables', 'fresh fruits'}",['packaged cheese'],0.31756,0.230995,0.10457,0.3292921022798841,1.4255377920729198,0.031215227799999995,1.1465572458800881,0.4374162633876496
"{'packaged cheese', 'fresh fruits'}",['fresh vegetables'],0.1559,0.44436,0.10457,0.6707504810776138,1.509475382747353,0.035294276,1.6875954802259885,0.39985567967077185
{'fresh vegetables'},"['fresh fruits', 'packaged cheese']",0.44436,0.1559,0.10457,0.23532721217031236,1.509475382747353,0.035294276,1.103870849642426,0.6074403916386482
{'packaged cheese'},"['fresh fruits', 'fresh vegetables']",0.230995,0.31756,0.10457,0.4526937812506764,1.4255377920729198,0.031215227799999995,1.2469070816689736,0.38817739128649037
"{'packaged cheese', 'yogurt'}",['fresh fruits'],0.08852,0.555995,0.07002,0.7910076818798012,1.422688480795333,0.020803322599999993,2.1245039243243244,0.3259593579561059
"{'packaged cheese', 'fresh fruits'}",['yogurt'],0.1559,0.263675,0.07002,0.4491340602950609,1.7033623221581906,0.0289130675,1.3366682289240799,0.4891906677128247
"{'yogurt', 'fresh fruits'}",['packaged cheese'],0.188225,0.230995,0.07002,0.37200159383716297,1.6104313679394053,0.026540966124999996,1.224533362590415,0.4669377098300822
{'packaged cheese'},"['fresh fruits', 'yogurt']",0.230995,0.188225,0.07002,0.3031234442303946,1.6104313679394056,0.026540966124999996,1.1648763231868302,0.4929075355782017
{'yogurt'},"['fresh fruits', 'packaged cheese']",0.263675,0.1559,0.07002,0.26555418602446196,1.7033623221581908,0.0289130675,1.1493019415971701,0.5607929142924596
"{'fresh vegetables', 'packaged cheese'}",['yogurt'],0.13585,0.263675,0.057195,0.4210158262789842,1.5967225799904587,0.021374751250000004,1.2717532420062299,0.432467893298479
"{'fresh vegetables', 'yogurt'}",['packaged cheese'],0.14466,0.230995,0.057195,0.39537536291995024,1.7116187056860548,0.0237792633,1.2718717578459955,0.4860730572900244
"{'packaged cheese', 'yogurt'}",['fresh vegetables'],0.08852,0.44436,0.057195,0.646125169453231,1.4540579022712012,0.017860252800000004,1.5701597063048687,0.3425960834041698
{'packaged cheese'},"['fresh vegetables', 'yogurt']",0.230995,0.14466,0.057195,0.2476027619645447,1.7116187056860548,0.0237792633,1.1368196967779056,0.5406437264028836
{'yogurt'},"['fresh vegetables', 'packaged cheese']",0.263675,0.13585,0.057195,0.21691476249170383,1.5967225799904587,0.021374751250000004,1.1035197174060443,0.507543720495543
"{'packaged cheese', 'yogurt'}",['packaged vegetables fruits'],0.08852,0.365415,0.051915,0.5864776321735201,1.604963212165675,0.019568464200000003,1.5345844611391886,0.4135392540901789
"{'packaged cheese', 'packaged vegetables fruits'}",['yogurt'],0.11461,0.263675,0.051915,0.4529709449437222,1.7179138899923094,0.021695208250000004,1.3460436757317171,0.4719938635251623
"{'yogurt', 'packaged vegetables fruits'}",['packaged cheese'],0.12791,0.230995,0.051915,0.40587131576890007,1.7570567145128684,0.022368429550000003,1.294340805974077,0.4940618601168787
{'packaged cheese'},"['packaged vegetables fruits', 'yogurt']",0.230995,0.12791,0.051915,0.22474512435334099,1.7570567145128684,0.022368429550000003,1.1249074690082643,0.5602907752086511
"{'fresh vegetables', 'packaged cheese', 'yogurt'}",['fresh fruits'],0.057195,0.555995,0.049105,0.8585540694116619,1.544175881818473,0.017304865975,3.139044001854142,0.3737839486696466
"{'fresh vegetables', 'packaged cheese', 'fresh fruits'}",['yogurt'],0.10457,0.263675,0.049105,0.46958974849383195,1.7809414942403792,0.021532505250000004,1.3882178896601463,0.48970800779675006
"{'fresh vegetables', 'yogurt', 'fresh fruits'}",['packaged cheese'],0.11842,0.230995,0.049105,0.41466813038338124,1.7951389873520258,0.021750572100000004,1.3137931486691192,0.5024388815982498
"{'packaged cheese', 'yogurt', 'fresh fruits'}",['fresh vegetables'],0.07002,0.44436,0.049105,0.7012996286775207,1.5782240270895687,0.017990912800000005,1.860191862299785,0.3939615835207456
"{'fresh vegetables', 'packaged cheese'}","['fresh fruits', 'yogurt']",0.13585,0.188225,0.049105,0.3614648509385352,1.9203870417773155,0.023534633750000002,1.2713082454320135,0.5546162556359542
"{'fresh vegetables', 'yogurt'}","['fresh fruits', 'packaged cheese']",0.14466,0.1559,0.049105,0.3394511267800359,2.177364507889903,0.026552506,1.277876678352781,0.6321803869596404
"{'packaged cheese', 'yogurt'}","['fresh fruits', 'fresh vegetables']",0.08852,0.31756,0.049105,0.554733393583371,1.746861675221599,0.020994588800000002,1.5326547963973107,0.4690666042358329
"{'packaged cheese', 'fresh fruits'}","['fresh vegetables', 'yogurt']",0.1559,0.14466,0.049105,0.31497754971135344,2.1773645078899033,0.026552506,1.2486306100472868,0.6405984743301254
"{'yogurt', 'fresh fruits'}","['fresh vegetables', 'packaged cheese']",0.188225,0.13585,0.049105,0.26088457962544825,1.920387041777315,0.023534633750000002,1.1691678676682,0.5903996024856761
{'packaged cheese'},"['fresh fruits', 'fresh vegetables', 'yogurt']",0.230995,0.11842,0.049105,0.2125803588822269,1.7951389873520258,0.021750572100000004,1.1195809120897247,0.575991143411792
"{'packaged cheese', 'yogurt', 'fresh fruits'}",['packaged vegetables fruits'],0.07002,0.365415,0.044825,0.6401742359325907,1.7519101184477668,0.019238641699999996,1.7635896685850367,0.46150934501862817
"{'packaged cheese', 'yogurt', 'packaged vegetables fruits'}",['fresh fruits'],0.051915,0.555995,0.044825,0.8634306077241644,1.5529467130534704,0.015960519574999995,3.2511311107193195,0.37556010467467654
"{'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}",['yogurt'],0.090715,0.263675,0.044825,0.494129967480571,1.87401144393883,0.020905722374999998,1.4555616120069732,0.5129143547484514
"{'yogurt', 'fresh fruits', 'packaged vegetables fruits'}",['packaged cheese'],0.10579,0.230995,0.044825,0.4237167974288685,1.8343115540547132,0.020388038949999996,1.334422028212909,0.5086460006172323
"{'packaged cheese', 'yogurt'}","['fresh fruits', 'packaged vegetables fruits']",0.08852,0.26987,0.044825,0.5063827383642114,1.8763950730507706,0.020936107599999997,1.4791419521684401,0.5124228643688803
"{'packaged cheese', 'fresh fruits'}","['packaged vegetables fruits', 'yogurt']",0.1559,0.12791,0.044825,0.2875240538806927,2.2478621990516197,0.024883830999999995,1.2240272878685572,0.6576624479103106
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'yogurt']",0.11461,0.188225,0.044825,0.3911089782741471,2.077880081148344,0.023252532749999996,1.3332024468008883,0.5858890130733316
"{'yogurt', 'fresh fruits'}","['packaged cheese', 'packaged vegetables fruits']",0.188225,0.11461,0.044825,0.2381458361004117,2.077880081148344,0.023252532749999996,1.1621515533472804,0.6390197693757471
"{'yogurt', 'packaged vegetables fruits'}","['fresh fruits', 'packaged cheese']",0.12791,0.1559,0.044825,0.3504417168321476,2.24786219905162,0.024883830999999995,1.2994984774628393,0.636554566938152
"{'fresh vegetables', 'packaged cheese', 'yogurt'}",['packaged vegetables fruits'],0.057195,0.365415,0.038635,0.6754961097998077,1.8485724718465517,0.017735089075000002,1.955554368265086,0.4868896923181245
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits'}",['yogurt'],0.08197,0.263675,0.038635,0.47133097474685864,1.7875451777637572,0.01702156025,1.392790129225799,0.4799119632863333
"{'fresh vegetables', 'yogurt', 'packaged vegetables fruits'}",['packaged cheese'],0.087995,0.230995,0.038635,0.4390590374453094,1.9007296151228787,0.018308594975000002,1.3709196712925444,0.5196092591562442
"{'packaged cheese', 'yogurt', 'packaged vegetables fruits'}",['fresh vegetables'],0.051915,0.44436,0.038635,0.7441972454974478,1.6747620071506162,0.015566050600000002,2.172142364457832,0.4249621453115754
"{'fresh vegetables', 'packaged cheese'}","['packaged vegetables fruits', 'yogurt']",0.13585,0.12791,0.038635,0.2843945528156055,2.2233957690220114,0.021258426500000004,1.2186743455228104,0.6367384340620793
"{'fresh vegetables', 'yogurt'}","['packaged cheese', 'packaged vegetables fruits']",0.14466,0.11461,0.038635,0.2670745195631135,2.3302898487314674,0.022055517400000002,1.2080218571091723,0.6674174409694924
"{'packaged cheese', 'yogurt'}","['fresh vegetables', 'packaged vegetables fruits']",0.08852,0.234555,0.038635,0.43645503840939903,1.8607790855424058,0.0178721914,1.358267844041295,0.5075160095420393
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh vegetables', 'yogurt']",0.11461,0.14466,0.038635,0.3370997295174941,2.3302898487314674,0.022055517400000002,1.2902996696281672,0.6447653959936814
"{'yogurt', 'packaged vegetables fruits'}","['fresh vegetables', 'packaged cheese']",0.12791,0.13585,0.038635,0.3020483152216403,2.2233957690220114,0.021258426500000004,1.2381229515541865,0.630941207667495
"{'fresh vegetables', 'packaged cheese', 'yogurt', 'fresh fruits'}",['packaged vegetables fruits'],0.049105,0.365415,0.034565,0.7038998065370125,1.9263024411614533,0.016621296424999998,2.143142807771664,0.5057032791828899
"{'fresh vegetables', 'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}",['yogurt'],0.068325,0.263675,0.034565,0.5058909623124771,1.9186155771782578,0.016549405625,1.4902075125888625,0.5139032891888398
"{'fresh vegetables', 'packaged cheese', 'yogurt', 'packaged vegetables fruits'}",['fresh fruits'],0.038635,0.555995,0.034565,0.8946551054743107,1.609106386701878,0.013084133174999995,4.21477473587223,0.39374956567783215
"{'fresh vegetables', 'yogurt', 'fresh fruits', 'packaged vegetables fruits'}",['packaged cheese'],0.07624,0.230995,0.034565,0.45337093389296956,1.962687217874714,0.016953941199999996,1.406813226154769,0.5309760819907583
"{'packaged cheese', 'yogurt', 'fresh fruits', 'packaged vegetables fruits'}",['fresh vegetables'],0.044825,0.44436,0.034565,0.7711098717233686,1.7353269234930433,0.014646563000000001,2.427540253411306,0.44362520773356134
"{'fresh vegetables', 'packaged cheese', 'fresh fruits'}","['packaged vegetables fruits', 'yogurt']",0.10457,0.12791,0.034565,0.3305441331165726,2.5841930507120052,0.0211894513,1.302684826798086,0.6846230373840724
"{'fresh vegetables', 'packaged cheese', 'yogurt'}","['fresh fruits', 'packaged vegetables fruits']",0.057195,0.26987,0.034565,0.6043360433604336,2.2393598523749714,0.019129785349999998,1.8453285616438353,0.5870183247428608
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'yogurt']",0.08197,0.188225,0.034565,0.4216786629254605,2.240290412673452,0.019136196749999997,1.4036746492985972,0.6030623180830805
"{'fresh vegetables', 'yogurt', 'fresh fruits'}","['packaged cheese', 'packaged vegetables fruits']",0.11842,0.11461,0.034565,0.2918848167539267,2.5467656989261553,0.0209928838,1.2503474306839188,0.6889279612827235
"{'fresh vegetables', 'yogurt', 'packaged vegetables fruits'}","['fresh fruits', 'packaged cheese']",0.087995,0.1559,0.034565,0.39280640945508266,2.5196049355682018,0.020846579499999997,1.3901661894067003,0.6613038113473217
"{'packaged cheese', 'yogurt', 'fresh fruits'}","['fresh vegetables', 'packaged vegetables fruits']",0.07002,0.234555,0.034565,0.4936446729505855,2.1046009377356505,0.018141458899999997,1.5116756141587924,0.5643675558217831
"{'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}","['fresh vegetables', 'yogurt']",0.090715,0.14466,0.034565,0.3810284958386154,2.63395890943326,0.0214421681,1.3818729848619768,0.6822320350560601
"{'packaged cheese', 'yogurt', 'packaged vegetables fruits'}","['fresh fruits', 'fresh vegetables']",0.051915,0.31756,0.034565,0.6657998651642106,2.0966112393381113,0.018078872599999997,2.0420099481268004,0.5516803402068402
"{'yogurt', 'fresh fruits', 'packaged vegetables fruits'}","['fresh vegetables', 'packaged cheese']",0.10579,0.13585,0.034565,0.3267322053124114,2.4050953648318836,0.0201934285,1.2835160196560196,0.6533320709567764
"{'fresh vegetables', 'packaged cheese'}","['fresh fruits', 'packaged vegetables fruits', 'yogurt']",0.13585,0.10579,0.034565,0.25443503864556494,2.4050953648318836,0.0201934285,1.1993723502986622,0.6760586370077636
"{'fresh vegetables', 'yogurt'}","['fresh fruits', 'packaged cheese', 'packaged vegetables fruits']",0.14466,0.090715,0.034565,0.2389395824692382,2.63395890943326,0.0214421681,1.1947605985739589,0.7252593775527272
"{'packaged cheese', 'fresh fruits'}","['fresh vegetables', 'packaged vegetables fruits', 'yogurt']",0.1559,0.087995,0.034565,0.2217126363053239,2.5196049355682013,0.020846579499999997,1.171810108377632,0.7145034740763111
"{'packaged cheese', 'yogurt'}","['fresh fruits', 'fresh vegetables', 'packaged vegetables fruits']",0.08852,0.18658,0.034565,0.3904767284229552,2.0928112789310496,0.0180489384,1.3345183653044204,0.5728856683830611
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'fresh vegetables', 'yogurt']",0.11461,0.11842,0.034565,0.30158799406683534,2.546765698926156,0.0209928838,1.2622635242675995,0.68596337445377
"{'yogurt', 'packaged vegetables fruits'}","['fresh fruits', 'fresh vegetables', 'packaged cheese']",0.12791,0.10457,0.034565,0.27022906731295443,2.5841930507120057,0.0211894513,1.2270014601746209,0.7029458041771146
"{'packaged cheese', 'milk'}",['packaged vegetables fruits'],0.07817,0.365415,0.04383,0.5607010362031469,1.5344226049919871,0.015265509449999999,1.4445401703552705,0.37782352371238936
"{'packaged cheese', 'packaged vegetables fruits'}",['milk'],0.11461,0.243325,0.04383,0.38242736235930547,1.5716731217889877,0.015942521749999997,1.2252404881322407,0.41081939147445506
"{'packaged vegetables fruits', 'milk'}",['packaged cheese'],0.107425,0.230995,0.04383,0.4080055852920642,1.7662961765062628,0.019015362124999997,1.2990071880650993,0.48605835328061314
"{'packaged cheese', 'fresh fruits'}",['milk'],0.1559,0.243325,0.059885,0.3841244387427838,1.5786476471500412,0.021950632499999997,1.2286167005155444,0.43424525803746755
"{'packaged cheese', 'milk'}",['fresh fruits'],0.07817,0.555995,0.059885,0.7660867340411922,1.3778662290869381,0.01642287085,1.8981608340169531,0.2974953528348852
"{'fresh fruits', 'milk'}",['packaged cheese'],0.16431,0.230995,0.059885,0.36446351408922156,1.57779828173433,0.021930211549999995,1.2100092080440508,0.43820725335249355
{'packaged cheese'},"['fresh fruits', 'milk']",0.230995,0.16431,0.059885,0.2592480356717678,1.5777982817343301,0.021930211549999995,1.1281644062299108,0.47620681211974614
{'milk'},"['fresh fruits', 'packaged cheese']",0.243325,0.1559,0.059885,0.24611116819069145,1.5786476471500412,0.021950632499999997,1.1196611017226341,0.48441724955816745
"{'packaged cheese', 'yogurt'}",['milk'],0.08852,0.243325,0.038465,0.43453456845910526,1.7858196587243613,0.016925871,1.3381454599940066,0.4827676339866236
"{'packaged cheese', 'milk'}",['yogurt'],0.07817,0.263675,0.038465,0.49206856850454134,1.8661934901091926,0.01785352525,1.4496543319481174,0.5035091969349327
"{'yogurt', 'milk'}",['packaged cheese'],0.095705,0.230995,0.038465,0.4019121258032496,1.7399169930225744,0.016357623525,1.2857725982704402,0.47026682471489617
"{'fresh vegetables', 'packaged cheese'}",['milk'],0.13585,0.243325,0.049305,0.36293706293706296,1.491573257729633,0.016249298750000002,1.187755488474204,0.3813770244564112
"{'fresh vegetables', 'milk'}",['packaged cheese'],0.124715,0.230995,0.049305,0.3953413783426212,1.7114715831192067,0.020496458575,1.271800272841798,0.4749395977665008
"{'packaged cheese', 'milk'}",['fresh vegetables'],0.07817,0.44436,0.049305,0.6307406933606243,1.4194362529494653,0.014569378800000005,1.504742033604712,0.3205525486118123
{'packaged cheese'},"['fresh vegetables', 'milk']",0.230995,0.124715,0.049305,0.2134461784887119,1.7114715831192069,0.020496458575,1.1128100532500411,0.5405784173458582
{'milk'},"['fresh vegetables', 'packaged cheese']",0.243325,0.13585,0.049305,0.20263022706257064,1.491573257729633,0.016249298750000002,1.0837506378208432,0.4355462459893716
"{'packaged cheese', 'fresh fruits', 'milk'}",['packaged vegetables fruits'],0.059885,0.365415,0.03738,0.6241963763880771,1.7081848757934872,0.015497122724999996,1.6886079860031102,0.4409920833854476
"{'packaged cheese', 'packaged vegetables fruits', 'milk'}",['fresh fruits'],0.04383,0.555995,0.03738,0.8528405201916495,1.5338996217441694,0.013010739149999995,3.017168860465114,0.3640219395561723
"{'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}",['milk'],0.090715,0.243325,0.03738,0.41205974756104274,1.6934542178610612,0.015306772624999996,1.2869930181869316,0.4503439234690755
"{'packaged vegetables fruits', 'fresh fruits', 'milk'}",['packaged cheese'],0.08745,0.230995,0.03738,0.42744425385934814,1.8504480783538524,0.017179487249999997,1.3431093918514079,0.5036330602346994
"{'packaged cheese', 'milk'}","['fresh fruits', 'packaged vegetables fruits']",0.07817,0.26987,0.03738,0.4781885633874887,1.7719219008688951,0.016284262099999995,1.399221919588134,0.4725828413736332
"{'packaged cheese', 'fresh fruits'}","['milk', 'packaged vegetables fruits']",0.1559,0.107425,0.03738,0.23976908274534955,2.2319672585091883,0.020632442499999994,1.1740840575430307,0.6539091978190731
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'milk']",0.11461,0.16431,0.03738,0.3261495506500305,1.9849647048264285,0.018548430899999996,1.2401713181406189,0.5604453457288828
"{'fresh fruits', 'milk'}","['packaged cheese', 'packaged vegetables fruits']",0.16431,0.11461,0.03738,0.227496804820157,1.9849647048264287,0.018548430899999996,1.1461311817537225,0.5937760469251703
"{'packaged vegetables fruits', 'milk'}","['fresh fruits', 'packaged cheese']",0.107425,0.1559,0.03738,0.34796369560158247,2.2319672585091883,0.020632442499999994,1.294559818687986,0.6183959374608068
"{'fresh vegetables', 'packaged cheese', 'milk'}",['packaged vegetables fruits'],0.049305,0.365415,0.032215,0.6533820099381401,1.7880547047552513,0.014198213425000002,1.8307907211819774,0.46359031521461164
"{'fresh vegetables', 'packaged vegetables fruits', 'milk'}",['packaged cheese'],0.073075,0.230995,0.032215,0.44084844338008894,1.9084761288343424,0.015335040375000001,1.3753069107929516,0.5135493601410752
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits'}",['milk'],0.08197,0.243325,0.032215,0.39300963767231917,1.6151634138387718,0.01226964975,1.2466013415737112,0.4148748956969413
"{'packaged cheese', 'packaged vegetables fruits', 'milk'}",['fresh vegetables'],0.04383,0.44436,0.032215,0.7349988592288387,1.654061704988835,0.0127387012,2.0967456909169178,0.4135536913835149
"{'fresh vegetables', 'milk'}","['packaged cheese', 'packaged vegetables fruits']",0.124715,0.11461,0.032215,0.2583089443932165,2.2538080830051173,0.017921413849999998,1.1937450145945945,0.6355718406296595
"{'fresh vegetables', 'packaged cheese'}","['milk', 'packaged vegetables fruits']",0.13585,0.107425,0.032215,0.23713654766286346,2.2074614630008234,0.01762131375,1.1700324576639167,0.6329814953196852
"{'packaged cheese', 'milk'}","['fresh vegetables', 'packaged vegetables fruits']",0.07817,0.234555,0.032215,0.4121146219777408,1.7570063395695712,0.013879835649999998,1.3020310227396363,0.46738562426930874
"{'packaged vegetables fruits', 'milk'}","['fresh vegetables', 'packaged cheese']",0.107425,0.13585,0.032215,0.29988363974866183,2.2074614630008234,0.01762131375,1.234294824491424,0.6128235265165458
"{'packaged cheese', 'packaged vegetables fruits'}","['fresh vegetables', 'milk']",0.11461,0.124715,0.032215,0.28108367507198323,2.2538080830051173,0.017921413849999998,1.2175060847138781,0.6283180276776692
"{'fresh vegetables', 'packaged cheese', 'fresh fruits', 'milk'}",['packaged vegetables fruits'],0.041475,0.365415,0.028555,0.6884870403857746,1.8841236413003697,0.013399412875000002,2.0371062596749225,0.4895535003830354
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits', 'milk'}",['fresh fruits'],0.032215,0.555995,0.028555,0.8863883284184386,1.5942379489355814,0.010643621074999998,3.9080931898907103,0.3851486267473132
"{'fresh vegetables', 'packaged vegetables fruits', 'fresh fruits', 'milk'}",['packaged cheese'],0.062535,0.230995,0.028555,0.4566242903973775,1.9767713171167234,0.014109727675000001,1.4152362470570925,0.5270859074892418
"{'fresh vegetables', 'packaged cheese', 'fresh fruits', 'packaged vegetables fruits'}",['milk'],0.068325,0.243325,0.028555,0.41792901573362606,1.7175753240876444,0.011929819375000001,1.2999703136786522,0.44842236173528865
"{'packaged cheese', 'packaged vegetables fruits', 'fresh fruits', 'milk'}",['fresh vegetables'],0.03738,0.44436,0.028555,0.7639111824505084,1.7191267946046187,0.011944823200000003,2.3535210424929187,0.43455292833145537
"{'fresh vegetables', 'packaged cheese', 'milk'}","['fresh fruits', 'packaged vegetables fruits']",0.049305,0.26987,0.028555,0.5791501876077477,2.1460339704589164,0.01524905965,1.7348944409638554,0.5617197435951503
"{'fresh vegetables', 'fresh fruits', 'milk'}","['packaged cheese', 'packaged vegetables fruits']",0.09959,0.11461,0.028555,0.28672557485691336,2.5017500641908503,0.0171409901,1.241303443372985,0.6666738645653382
"{'fresh vegetables', 'packaged vegetables fruits', 'milk'}","['fresh fruits', 'packaged cheese']",0.073075,0.1559,0.028555,0.39076291481354775,2.506497208553866,0.0171626075,1.3855033131177,0.6484201620344137
"{'fresh vegetables', 'packaged cheese', 'fresh fruits'}","['milk', 'packaged vegetables fruits']",0.10457,0.107425,0.028555,0.27307067036434923,2.541965746933667,0.017321567750000003,1.2278703907123596,0.6774439859724454
"{'fresh vegetables', 'packaged cheese', 'packaged vegetables fruits'}","['fresh fruits', 'milk']",0.08197,0.16431,0.028555,0.3483591557887032,2.1201336241780973,0.0150865093,1.282439563792942,0.5755058289808646
"{'packaged cheese', 'fresh fruits', 'milk'}","['fresh vegetables', 'packaged vegetables fruits']",0.059885,0.234555,0.028555,0.47683059196793853,2.0329159129753727,0.014508673825,1.4630920467602935,0.5404612615742561
"{'packaged cheese', 'packaged vegetables fruits', 'milk'}","['fresh fruits', 'fresh vegetables']",0.04383,0.31756,0.028555,0.6514944102213096,2.0515632013519007,0.0146363452,1.9581895384615382,0.5360624239565672
